order_id,region,product,units,price,discount
1001,East,Gadget,7,25.87,0
1002,North,Gizmo,10,7.62,10
1003,South,Widget,2,12.52,0
1004,South,Widget,9,12.48,10
1005,North,Gadget,11,25.67,0
1006,West,Widget,4,10.83,0
1007,East,Doohickey,3,41.47,10
1008,East,Gadget,2,25.29,15
1009,South,Gizmo,2,9.11,0
1010,North,Gadget,8,26.12,5
1011,East,Doohickey,10,46.81,0
1012,East,Gadget,3,26.27,0
1013,North,Gizmo,9,8.95,0
1014,West,Gizmo,10,10.44,0
1015,West,Gadget,6,21.68,5
1016,West,Widget,11,10.96,10
1017,East,Gizmo,12,8.51,5
1018,West,Widget,2,14.76,5
1019,North,Widget,12,13.69,15
1020,West,Gizmo,12,8.62,15
1021,East,Widget,8,12.18,10
1022,North,Doohickey,1,36.96,0
1023,South,Gadget,7,23.68,5
1024,North,Gadget,8,23.77,0
