minute,ticker,price,volume,signal
1,MSFT,420.47,8000,0
2,CVX,156.93,5500,1
3,JPM,205.25,2900,-1
4,MSFT,398.56,3900,-1
5,JPM,203.24,3300,0
6,XOM,107.56,6300,1
7,XOM,112.98,5000,-1
8,CVX,162.54,8900,1
9,CVX,161.03,6800,1
10,NVDA,118.97,6100,0
11,AAPL,189.72,6100,-1
12,MSFT,395.81,3600,0
13,MSFT,397.21,8600,-1
14,AAPL,182.4,2900,1
15,AAPL,196.82,8800,-1
16,AAPL,195.69,8800,0
17,MSFT,414.41,5400,1
18,XOM,111.77,2400,0
19,JPM,197.69,4900,-1
20,MSFT,396.95,5300,1
21,XOM,111.81,3000,1
22,AAPL,185.52,7700,0
23,MSFT,416.23,1300,1
24,XOM,116.29,2100,1
